chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,67.268,72,0.9185
256,0.03,0.3,77.322,116,0.8749
256,0.05,0.2,73.618,100,0.8902
256,0.08,0.18,71.137,88,0.9021
256,0.12,0.15,78.933,117,0.8739
512,0.01,0.35,48.291,96,0.8088
512,0.03,0.3,45.114,84,0.8286
512,0.05,0.2,47.917,96,0.8088
512,0.08,0.18,57.154,132,0.7546
512,0.12,0.15,58.509,140,0.7436
1024,0.01,0.35,50.167,136,0.5988
1024,0.03,0.3,42.137,100,0.6700
1024,0.05,0.2,51.230,135,0.6006
1024,0.08,0.18,47.342,124,0.6208
1024,0.12,0.15,51.024,136,0.5988
2048,0.01,0.35,41.586,124,0.4513
2048,0.03,0.3,39.165,111,0.4789
2048,0.05,0.2,35.059,100,0.5050
2048,0.08,0.18,44.269,132,0.4359
2048,0.12,0.15,54.375,172,0.3723
4096,0.01,0.35,32.167,85,0.3750
4096,0.03,0.3,41.060,114,0.3091
4096,0.05,0.2,56.621,163,0.2383
4096,0.08,0.18,64.182,188,0.2134
4096,0.12,0.15,46.387,136,0.2727
