chunk_size,H,R,time_s,retransmissions,efficiency
256,0.01,0.35,69.0103,79.0,0.9115
256,0.03,0.3,74.61179999999999,103.6,0.8869400000000001
256,0.05,0.2,79.205,123.2,0.8683799999999999
256,0.08,0.18,79.998,125.0,0.8669399999999999
256,0.12,0.15,84.9943,146.3,0.8476100000000001
512,0.01,0.35,47.750299999999996,93.8,0.8126
512,0.03,0.3,49.1108,100.0,0.80353
512,0.05,0.2,51.780899999999995,111.0,0.78744
512,0.08,0.18,53.266,116.2,0.77854
512,0.12,0.15,60.5447,146.0,0.73605
1024,0.01,0.35,41.9274,104.5,0.66313
1024,0.03,0.3,43.341,105.7,0.66028
1024,0.05,0.2,46.3455,117.6,0.63608
1024,0.08,0.18,49.198899999999995,129.1,0.6160300000000001
1024,0.12,0.15,50.513400000000004,132.9,0.60744
2048,0.01,0.35,34.3521,96.8,0.5170600000000001
2048,0.03,0.3,41.857,122.3,0.4587800000000001
2048,0.05,0.2,36.9324,105.8,0.49367
2048,0.08,0.18,44.2074,132.7,0.43884
2048,0.12,0.15,53.709399999999995,165.6,0.38573
4096,0.01,0.35,36.5156,103.4,0.33612000000000003
4096,0.03,0.3,45.845,132.2,0.28108
4096,0.05,0.2,46.3742,133.6,0.28461
4096,0.08,0.18,55.194500000000005,160.7,0.24370000000000003
4096,0.12,0.15,64.6569,190.4,0.21902999999999997
